爱情,ài qíng [ái tình],tình yêu
安排,ān pái [an bài],sắp xếp
安全,ān quán [an toàn],an toàn
按时,àn shí,đúng hạn
按照,àn zhào,"dựa vào, theo"
百分之,bǎi fēn zhī,%
棒,bàng,"cây gậy/ giỏi, tốt"
包子,bāo zi,bánh bao
保护,bǎo hù,"che chở, bảo vệ"
保证,bǎo zhèng,"đảm bảo, cam đoan"
报名,bào míng,đăng kí
抱,bào,ôm
抱歉,bào qiàn,xin lỗi
倍,bèi,lần
本来,běn lái,vốn có
笨,bèn,ngốc nghếch
比如,bǐ rú,ví dụ như
毕业,bì yè,tốt nghiệp
遍,biàn,"lần, lượt"
标准,biāo zhǔn,tiêu chuẩn
表格,biǎo gé,bảng biểu
表示,biǎo shì,"biểu thị, cho thấy"
表演,biǎo yǎn,biểu diễn
表扬,biǎo yáng,tuyên dương
饼干,bǐng gān,bánh
并且,bìng qiě,đồng thời
博士,bó shì,tiến sĩ
不得不,bù dé bù,đành
不管,bù guǎn,bất kể
不过,bù guò,"nhưng, có điều"
不仅,bù jǐn,không những
部分,bù fèn,"bộ phận, phần"
擦,cā,lau
猜,cāi,đoán
材料,cái liào,tài liệu
参观,cān guān,tham quan
餐厅,cān tīng,"căng tin, nhà ăn"
厕所,cè suǒ,phòng vệ sinh
差不多,chà bù duō,gần như
长城,cháng chéng,Trường Thành
长江,cháng jiāng,Trường Giang
尝,cháng,nếm thử
场,chǎng,"trận, suất"
超过,chāo guò,vượt trên
成功,chéng gōng,thành công
成为,chéng wéi,trở thành
诚实,chéng shí,trung thực
乘坐,chéng zuò,ngồi xe
吃惊,chī jīng,ngạc nhiên
重新,chóng xīn,làm lại
抽烟,chōu yān,hút thuốc
出差,chū chāi,đi công tác
出发,chū fā,xuất phát
出生,chū shēng,ra đời
出现,chū xiàn,xuất hiện
厨房,chú fáng,phòng bếp
传真,chuán zhēn,"fax, bản fax"
窗户,chuāng hù,cửa sổ
词语,cí yǔ,từ ngữ
从来,cóng lái,từ trước đến nay
粗心,cū xīn,"thô lỗ, cẩu thả"
存,cún,"giữ, tiết kiệm, tồn"
错误,cuò wù,sai lầm
答案,dá àn,đáp án
打扮,dǎ bàn,"trau chuốt, trang điểm"
打扰,dǎ rǎo,làm phiền
打印,dǎ yìn,in ấn
打招呼,dǎ zhāo hū,chào hỏi
打折,dǎ zhé,giảm giá
打针,dǎ zhēn,tiêm
大概,dà gài,khoảng
大使馆,dà shǐ guǎn,đại sứ quán
大约,dà yuē,khoảng
大夫,dài fū,"bác sĩ, đại phu"
戴,dài,đeo
当,dāng,làm
当时,dāng shí,lúc đó
刀,dāo,cái dao
导游,dǎo yóu,hướng dẫn viên du lịch
到处,dào chù,khắp nơi
到底,dào dǐ,cuối cùng
倒,dǎo,"đổ, ngã"
道歉,dào qiàn,xin lỗi
得意,dé yì,đắc ý
得（助动词）,de （ zhù dòng cí ）,trợ từ
登机牌,dēng jī pái,thẻ lên tàu
等（助词）,děng （ zhù cí ）,vân vân
低,dī,thấp
底,dǐ,đáy
地点,dì diǎn,địa điểm
地球,dì qiú,địa cầu
地址,dì zhǐ,địa chỉ
调查,diào chá,điều tra
掉,diào,rơi
丢,diū,mất
动作,dòng zuò,động tác
堵车,dǔ chē,tắc đường
肚子,dù zi,bụng
短信,duǎn xìn,tin nhắn
对话,duì huà,"hội thoại, đối thoại"
对面,duì miàn,đối diện
对于,duì yú,về (vấn đề gì đó)
儿童,ér tóng,trẻ con
而,ér,còn
发生,fā shēng,xảy ra
发展,fā zhǎn,phát triển
法律,fǎ lǜ,pháp luật
翻译,fān yì,phiên dịch
烦恼,fán nǎo,phiền não
反对,fǎn duì,phản đối
方法,fāng fǎ,phương pháp
方面,fāng miàn,phương diện
方向,fāng xiàng,phương hướng
房东,fáng dōng,chủ nhà
放弃,fàng qì,"vứt bỏ, từ bỏ"
放暑假,fàng shǔ jià,nghỉ hè
放松,fàng sōng,thư giãn
份,fèn,phần
丰富,fēng fù,phong phú
否则,fǒu zé,nếu không thì
符合,fú hé,phù hợp
父亲,fù qīn,bố
付款,fù kuǎn,thanh toán
负责,fù zé,phụ trách
复印,fù yìn,phô tô
复杂,fù zá,phức tạp
富,fù,giàu
改变,gǎi biàn,thay đổi
干杯,gān bēi,cạn ly
赶,gǎn,đuổi theo
敢,gǎn,dám
感动,gǎn dòng,cảm động
感觉,gǎn jué,cảm giác
感情,gǎn qíng,tình cảm
感谢,gǎn xiè,cảm ơn
干,gān,khô
刚,gāng,vừa mới
高速公路,gāo sù gōng lù,đường cao tốc
胳膊,gē bo,cánh tay
各,gè,các
工资,gōng zī,lương
公里,gōng lǐ,km
功夫,gōng fū,công phu
共同,gòng tóng,giống nhau
购物,gòu wù,mua sắm
够,gòu,đủ
估计,gū jì,ước lượng
鼓励,gǔ lì,cổ vũ
故意,gù yì,cố ý
顾客,gù kè,khách hàng
挂,guà,"treo, ngắt điện thoại"
关键,guān jiàn,mấu chốt
观众,guān zhòng,khán giả
管理,guǎn lǐ,quản lý
光,guāng,"chỉ, hết"
广播,guǎng bō,phát thanh
广告,guǎng gào,quảng cáo
逛,guàng,đi dạo
规定,guī dìng,qui định
国籍,guó jí,quốc tịch
国际,guó jì,quốc tế
果汁,guǒ zhī,nước hoa quả
过程,guò chéng,quá trình
海洋,hǎi yáng,đại dương
害羞,hài xiū,xấu hổ
寒假,hán jià,kì nghỉ đông
汗,hàn,mồ hôi
航班,háng bān,chuyến bay
好处,hǎo chù,cái tốt
好像,hǎo xiàng,dường như
号码,hào mǎ,số
合格,hé gé,đạt yêu cầu
合适,hé shì,thích hợp
盒子,hé zi,cái hộp
后悔,hòu huǐ,hối hận
厚,hòu,dày
互联网,hù lián wǎng,mạng internet
互相,hù xiāng,lẫn nhau
护士,hù shì,y tá
怀疑,huái yí,nghi ngờ
回忆,huí yì,"hồi ức, nhớ lại"
活动,huó dòng,hoạt động
活泼,huó pō,hoạt bát
火,huǒ,lửa
获得,huò dé,giành được
积极,jī jí,tích cực
积累,jī lěi,tích lũy
基础,jī chǔ,"cơ sở, căn bản"
激动,jī dòng,xúc động
及时,jí shí,kịp thời
即使,jí shǐ,cho dù
计划,jì huà,kế hoạch
记者,jì zhě,phóng viên
技术,jì shù,kỹ thuật
既然,jì rán,đã….
继续,jì xù,tiếp tục
寄,jì,gửi
加班,jiā bān,tăng ca
加油站,jiā yóu zhàn,cây xăng
家具,jiā jù,đồ gia dụng
假,jiǎ,giả
价格,jià gé,giá cả
坚持,jiān chí,kiên trì
减肥,jiǎn féi,giảm béo
减少,jiǎn shǎo,cắt giảm
建议,jiàn yì,kiến nghị
将来,jiāng lái,tương lai
奖金,jiǎng jīn,học bổng
降低,jiàng dī,hạ thấp
降落,jiàng luò,hạ cánh
交,jiāo,giao
交流,jiāo liú,giao lưu
交通,jiāo tōng,giao thông
郊区,jiāo qū,ngoại ô
骄傲,jiāo ào,"tự hào, kiêu ngạo"
饺子,jiǎo zi,sủi cảo
教授,jiào shòu,giáo sư
教育,jiào yù,giáo dục
接受,jiē shòu,tiếp nhận
接着,jiē zhe,tiếp theo
节,jié,tiết
节约,jié yuē,tiết kiệm
结果,jié guǒ,kết quả
解释,jiě shì,giải thích
尽管,jǐn guǎn,tuy rằng
