Hanzi,Pinyin,Meaning
你,nǐ,"anh, chị, bạn, ông, bà..."
好,hǎo,"tốt, đẹp, hay, ngon..."
老师,lǎoshī,"thầy giáo, cô giáo"
您,nín,"ông, bà, cô, chú... (kính trọng)"
你们,nǐmen,"các ông, các bà, các bạn..."
们,men,hậu tố đặt sau đại từ/danh từ (số nhiều)
叫,jiào,"gọi, tên là"
什么,shénme,"gì, cái gì"
名字,míngzi,tên
我,wǒ,tôi
呢,ne,trợ từ ngữ khí
是,shì,là
哪,nǎ,nào
国,guó,"quốc gia, nước"
人,rén,người
他,tā,anh ấy
请问,qǐngwèn,xin hỏi
问,wèn,hỏi
贵姓,guìxìng,"quý danh, quý tính"
贵,guì,quý
姓,xìng,họ
这,zhè,này
的,de,trợ từ biểu thị sự sở hữu
名片,míngpiàn,danh thiếp
对不起,duìbuqǐ,xin lỗi
没有,méiyǒu,không có
有,yǒu,có
没关系,méi guānxi,"không sao, không có gì"
很,hěn,rất
高兴,gāoxìng,vui mừng
认识,rènshi,quen biết
先生,xiānsheng,"ngài, ông"
也,yě,cũng
吗,ma,từ dùng ở cuối câu hỏi
不,bù,không
小姐,xiǎojiě,"tiểu thư, cô, em"
师傅,shīfu,"sư phụ, thầy"
去,qù,đi
哪儿/哪里,nǎr/nǎli,"đâu, ở đâu"
人民,rénmín,nhân dân
广场,guǎngchǎng,quảng trường
知道,zhīdào,biết
了,le,rồi
远,yuǎn,xa
近,jìn,gần
到,dào,"đến, tới"
多少,duōshao,bao nhiêu
钱,qián,tiền
块,kuài,đồng (lượng từ)
谢谢,xièxie,cảm ơn
不客气,bú kèqi,"không có gì, đừng khách sáo"
客气,kèqi,khách sáo
再见,zàijiàn,tạm biệt
再,zài,lại
要,yào,"muốn, cần, phải"
吃,chī,ăn
(一)点儿,(yì)diǎnr,"một chút, một ít"
个,gè,"cái, chiếc, suất"
牛肉,niúròu,thịt bò
青菜,qīngcài,rau xanh
还,hái,còn
两,liǎng,hai
碗,wǎn,bát
米饭,mǐfàn,cơm
快,kuài,nhanh
饿,è,đói
喝,hē,uống
杯,bēi,"cốc, ly"
奶茶,nǎichá,trà sữa
茶,chá,trà
大,dà,"to, lớn"
还是,háishi,hay là
小,xiǎo,"nhỏ, bé"
咖啡,kāfēi,cà phê
一共,yígòng,"tất cả, tổng cộng"
在,zài,"ở, tại"
工作,gōngzuò,"làm việc, công việc"
苹果,píngguǒ,quả táo
公司,gōngsī,công ty
留学生,liúxuéshēng,lưu học sinh
学生,xuésheng,"học sinh, sinh viên"
这儿/这里,zhèr/zhèli,ở đây
学习,xuéxí,học tập
学,xué,học
汉语,Hànyǔ,tiếng Hán
对,duì,đúng
男朋友,nánpéngyou,bạn trai
男,nán,nam
朋友,péngyou,bạn bè
做,zuò,làm
大学,dàxué,đại học
教,jiāo,dạy
英语,Yīngyǔ,tiếng Anh
女朋友,nǚpéngyou,bạn gái
女,nǚ,nữ
她,tā,"bạn, chị, cô ấy"
中学,zhōngxué,trung học
附近,fùjìn,"gần đây, lân cận"
银行,yínháng,ngân hàng
家,jiā,lượng từ cho cửa hàng
从,cóng,từ
往,wǎng,"đi đến, hướng tới"
前,qián,phía trước
走,zǒu,đi
然后,ránhòu,sau đó
左,zuǒ,bên trái
拐,guǎi,rẽ
饭店,fàndiàn,"nhà hàng, quán ăn"
就,jiù,"ngay, chính là"
对面,duìmiàn,đối diện
面,miàn,"bên, phía"
书店,shūdiàn,nhà sách
超市,chāoshì,siêu thị
右,yòu,bên phải
今天,jīntiān,hôm nay
真,zhēn,thật là
漂亮,piàoliang,"đẹp, xinh đẹp"
事,shì,"việc, vấn đề"
生日,shēngrì,sinh nhật
几,jǐ,mấy
号,hào,ngày
月,yuè,tháng
快乐,kuàilè,"vui vẻ, hạnh phúc"
星期五,xīngqīwǔ,thứ sáu
星期,xīngqī,tuần
有空儿,yǒu kòngr,rảnh rỗi
空儿,kòngr,thời gian rảnh
想,xiǎng,"muốn, suy nghĩ"
请,qǐng,mời
晚饭,wǎnfàn,bữa tối
为什么,wèi shénme,tại sao
太...了,tài...le,quá
那,nà,"vậy, vậy thì"
晚上,wǎnshang,buổi tối
看,kàn,"nhìn, xem"
电影,diànyǐng,phim
学校,xuéxiào,trường học
见,jiàn,gặp
喜欢,xǐhuan,thích
非常,fēicháng,"rất, cực kỳ"
都,dōu,đều
明天,míngtiān,ngày mai
电影院,diànyǐngyuàn,rạp chiếu phim
怎么,zěnme,thế nào
坐,zuò,ngồi
地铁,dìtiě,tàu điện ngầm
出租车,chūzūchē,xe taxi
吧,ba,trợ từ gọi ý/phỏng đoán
又...又...,yòu...yòu...,vừa... vừa...
又,yòu,"vừa, lại"
便宜,piányi,rẻ
怎么样,zěnmeyàng,thế nào
菜,cài,"đồ ăn, món ăn"
有名,yǒu míng,nổi tiếng
那儿/那里,nàr/nàli,ở đó
好吃,hǎochī,ngon
走路,zǒu lù,đi bộ
公交车,gōngjiāochē,xe buýt
口,kǒu,lượng từ (người trong gia đình)
爸爸,bàba,bố
妈妈,māma,mẹ
弟弟,dìdi,em trai
妹妹,mèimei,em gái
照片,zhàopiàn,ảnh
律师,lǜshī,luật sư
和,hé,và
今年,jīnnián,năm nay
多大,duō dà,bao nhiêu tuổi
岁,suì,tuổi
家人,jiārén,người nhà
他们,tāmen,họ
们,men,hậu tố đại từ số nhiều
谁,shéi,ai
哥哥,gēge,anh trai
姐姐,jiějie,chị gái
只,zhī,con (lượng từ)
狗,gǒu,con chó
可爱,kě'ài,dễ thương
医生,yīshēng,bác sĩ
在,zài,đang
正在,zhèngzài,đang
正,zhèng,đang
听,tīng,nghe
